t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp
1756899741.534127,0.0,128,-161970,-3865,4074861
1756899741.534127,0.0,128,-161975,-3580,4074893
1756899741.535125,0.0009980201721191406,128,-162160,-3615,4074925
1756899741.5352356,0.0011086463928222656,128,-162565,-3920,4074957
1756899741.5384412,0.0043141841888427734,128,-162485,-4355,4074989
1756899741.5384412,0.0043141841888427734,128,-162685,-4585,4075021
1756899741.5394413,0.005314350128173828,128,-162395,-5815,4075053
1756899741.5394413,0.005314350128173828,128,-162195,-5585,4075085
1756899741.5394413,0.005314350128173828,128,-162035,-4725,4075117
1756899741.5394413,0.005314350128173828,128,-162190,-3430,4075149
1756899741.5454574,0.011330366134643555,128,-162175,-3210,4075181
1756899741.5454574,0.011330366134643555,128,-162235,-3250,4075213
1756899741.5464644,0.012337446212768555,128,-162240,-3210,4075245
1756899741.5464644,0.012337446212768555,128,-162215,-3600,4075277
1756899741.5464644,0.012337446212768555,128,-162545,-3795,4075309
1756899741.5464644,0.012337446212768555,128,-162595,-2560,4075341
1756899741.5494633,0.015336275100708008,128,-162880,-6035,4075373
1756899741.5494633,0.015336275100708008,128,-163385,-2965,4075405
1756899741.5494633,0.015336275100708008,128,-163630,1505,4075437
1756899741.5494633,0.015336275100708008,128,-163385,460,4075469
1756899741.5494633,0.015336275100708008,128,-163295,1685,4075501
1756899741.5504653,0.016338348388671875,128,-163150,4870,4075533
1756899741.556983,0.02285599708557129,128,-163130,-4100,4075565
1756899741.556983,0.02285599708557129,128,-163140,-10425,4075597
1756899741.5579822,0.023855209350585938,128,-162940,-10985,4075629
1756899741.5579822,0.023855209350585938,128,-163045,-6540,4075661
1756899741.5579822,0.023855209350585938,128,-162830,-4210,4075693
1756899741.5807166,0.04658961296081543,128,-162595,-165,4075725
1756899741.5807166,0.04658961296081543,128,-162710,4055,4075757
1756899741.5807166,0.04658961296081543,128,-162830,-6455,4075789
1756899741.5807166,0.04658961296081543,128,-162905,-7650,4075821
1756899741.5807166,0.04658961296081543,128,-162840,-7680,4075853
1756899741.581717,0.047590017318725586,128,-162955,-5610,4075885
1756899741.581717,0.047590017318725586,128,-163000,-3725,4075917
1756899741.609285,0.07515811920166016,128,-163220,-3275,4075949
1756899741.609285,0.07515811920166016,128,-163010,-3600,4075981
1756899741.609285,0.07515811920166016,128,-162890,-3845,4076013
