t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp,emg_ch1_filtered,emg_ch1_envelope,emg_cycle_peak,emg_X
1756903069.219306,0.0,128,-110045,79175,12455853,-110045.0,0.0,0,
1756903069.2203147,0.001008749008178711,128,-109985,78375,12455885,-72272.12356214393,1786.9835200223424,0,
1756903069.227318,0.008012056350708008,128,-110170,78835,12455917,-52991.39863207338,9450.685133541625,0,
1756903069.227318,0.008012056350708008,128,-110105,79165,12455949,-52620.32890060376,9558.910282648283,0,
1756903069.227318,0.008012056350708008,128,-110215,79225,12455981,-52214.642452218766,9665.847069044185,0,
1756903069.227318,0.008012056350708008,128,-110200,79410,12456013,-51756.20354322315,9771.366473604248,0,
1756903069.227318,0.008012056350708008,128,-110095,78905,12456045,-51238.81267778822,9875.324258679702,0,
1756903069.227318,0.008012056350708008,128,-110005,78570,12456077,-50680.715058598485,9977.622288459743,0,
1756903069.227318,0.008012056350708008,128,-110010,78730,12456109,-50113.48392362162,10078.241826425536,0,
1756903069.231841,0.01253509521484375,128,-109995,78475,12456141,-32074.22605878667,12323.439459620033,0,
1756903069.231841,0.01253509521484375,128,-110245,78250,12456173,-31733.846586634823,12372.100834193268,0,
1756903069.231841,0.01253509521484375,128,-110215,78250,12456205,-31378.448026961305,12419.749241254707,0,
1756903069.2328382,0.013532161712646484,128,-110215,79160,12456237,-27974.92292484224,12800.017415077553,0,
1756903069.235025,0.015718936920166016,128,-110200,79925,12456269,-21958.793139300888,13277.157138147766,0,
1756903069.2425387,0.023232698440551758,128,-110220,79270,12456301,-11305.735368006528,12964.00679969793,1,
1756903069.2470448,0.02773880958557129,128,-110305,78945,12456333,-7269.25553831243,12384.68022081728,0,
1756903069.2470448,0.02773880958557129,128,-110125,78680,12456365,-7141.220621285821,12371.535007017137,0,
1756903069.2470448,0.02773880958557129,128,-110230,78865,12456397,-7045.968037501208,12358.183952223557,0,
1756903069.2470448,0.02773880958557129,128,-110000,79105,12456429,-6903.290699606715,12344.508679876839,0,
1756903069.2470448,0.02773880958557129,128,-110325,79370,12456461,-6845.306481360796,12330.722326180861,0,
1756903069.2480495,0.028743505477905273,128,-110230,79975,12456493,-6080.674065248059,12176.790735767776,0,
1756903069.2480495,0.028743505477905273,128,-110150,79920,12456525,-5988.031245722395,12161.275680276249,0,
1756903069.2480495,0.028743505477905273,128,-110225,77320,12456557,-5916.651195958012,12145.620572729447,0,
1756903069.2480495,0.028743505477905273,128,-110105,78335,12456589,-5819.388070063024,12129.760876050485,0,
1756903069.2480495,0.028743505477905273,128,-110310,79825,12456621,-5773.21124224261,12113.825175129838,0,
1756903069.2480495,0.028743505477905273,128,-110155,80115,12456653,-5688.1255810515195,12097.716117097389,0,
1756903069.2490494,0.029743432998657227,128,-110050,79675,12456685,-4952.683667078361,11922.556795694994,0,
1756903069.2490494,0.029743432998657227,128,-110120,77775,12456717,-4897.747410091195,11904.94578534464,0,
