t_abs_unix,t_rel_s,exg_status,exg_ch1_24bit,exg_ch2_24bit,device_timestamp
1756894095.1920657,0.0,128,1334170,771435,3599725
1756894095.192423,0.0003573894500732422,128,1381205,770930,3599757
1756894095.192423,0.0003573894500732422,128,1395740,771675,3599789
1756894095.192423,0.0003573894500732422,128,1382765,772705,3599821
1756894095.192423,0.0003573894500732422,128,1349435,770900,3599853
1756894095.192423,0.0003573894500732422,128,1293015,771100,3599885
1756894095.192423,0.0003573894500732422,128,1144550,747440,3599917
1756894095.192423,0.0003573894500732422,128,894870,724170,3599949
1756894095.192423,0.0003573894500732422,128,696435,725960,3599981
1756894095.192423,0.0003573894500732422,128,406980,726095,3600013
1756894095.192423,0.0003573894500732422,128,114425,733145,3600045
1756894095.192423,0.0003573894500732422,128,-35580,739300,3600077
1756894095.192423,0.0003573894500732422,128,316935,762860,3600109
1756894095.192423,0.0003573894500732422,128,543360,766395,3600141
1756894095.192423,0.0003573894500732422,128,688560,780790,3600173
1756894095.192423,0.0003573894500732422,128,876280,796690,3600205
1756894095.192423,0.0003573894500732422,128,1084780,787355,3600237
1756894095.192423,0.0003573894500732422,128,1091255,772385,3600269
1756894095.192423,0.0003573894500732422,128,1155355,770365,3600301
1756894095.192423,0.0003573894500732422,128,1232245,769870,3600333
1756894095.2097275,0.01766180992126465,128,1303945,771080,3600365
1756894095.2097275,0.01766180992126465,128,1360910,770200,3600397
1756894095.2097275,0.01766180992126465,128,1395475,771930,3600429
1756894095.2097275,0.01766180992126465,128,1388660,771765,3600461
1756894095.2097275,0.01766180992126465,128,1369620,772840,3600493
1756894095.2273567,0.03529095649719238,128,1326430,768780,3600525
1756894095.2273567,0.03529095649719238,128,1239740,767030,3600557
1756894095.2273567,0.03529095649719238,128,1028800,732910,3600589
1756894095.2273567,0.03529095649719238,128,783380,724785,3600621
1756894095.2273567,0.03529095649719238,128,581300,720465,3600653
1756894095.2273567,0.03529095649719238,128,243595,730065,3600685
1756894095.2273567,0.03529095649719238,128,15575,734025,3600717
1756894095.2273567,0.03529095649719238,128,54855,748035,3600749
1756894095.2273567,0.03529095649719238,128,493495,764645,3600781
1756894095.2273567,0.03529095649719238,128,613370,775750,3600813
1756894095.2273567,0.03529095649719238,128,759550,780970,3600845
1756894095.2283568,0.03629112243652344,128,1019205,802110,3600877
1756894095.2290773,0.03701162338256836,128,1087435,788195,3600909
1756894095.2290773,0.03701162338256836,128,1119820,770150,3600941
1756894095.2290773,0.03701162338256836,128,1192530,769850,3600973
1756894095.2290773,0.03701162338256836,128,1272660,769335,3601005
1756894095.2290773,0.03701162338256836,128,1337240,772650,3601037
1756894095.2290773,0.03701162338256836,128,1383570,770225,3601069
1756894095.2301135,0.03804779052734375,128,1397775,773480,3601101
1756894095.2351434,0.043077707290649414,128,1384290,771150,3601133
1756894095.2351434,0.043077707290649414,128,1350605,770775,3601165
1756894095.2351434,0.043077707290649414,128,1293980,770225,3601197
1756894095.2351434,0.043077707290649414,128,1142170,747430,3601229
1756894095.2351434,0.043077707290649414,128,893630,722970,3601261
1756894095.2420557,0.049989938735961914,128,694735,724825,3601293
1756894095.2420557,0.049989938735961914,128,390400,727180,3601325
1756894095.2420557,0.049989938735961914,128,103440,731685,3601357
1756894095.2420557,0.049989938735961914,128,-33835,740315,3601389
1756894095.2420557,0.049989938735961914,128,331590,762940,3601421
1756894095.2420557,0.049989938735961914,128,548760,765275,3601453
1756894095.243239,0.05117321014404297,128,695320,781670,3601485
1756894095.243239,0.05117321014404297,128,764895,782040,3601517
1756894095.243239,0.05117321014404297,128,1024810,801570,3601549
1756894095.243239,0.05117321014404297,128,1095425,771120,3601581
1756894095.243239,0.05117321014404297,128,1160350,770025,3601613
1756894095.243239,0.05117321014404297,128,1237745,771560,3601645
1756894095.243239,0.05117321014404297,128,1307940,770225,3601677
1756894095.243239,0.05117321014404297,128,1364135,772020,3601709
1756894095.243239,0.05117321014404297,128,1397415,771640,3601741
1756894095.243239,0.05117321014404297,128,1390245,771230,3601773
